i:      0, sim time:  0.000, wall time:  0 seconds, Δt:  0.0101, advective CFL: 0.00e+00, diffusive CFL: 1.43e-02
i:  238530, sim time:  1997.805, wall time: 49.953 minutes, Δt:  0.0115, advective CFL: 4.86e-01, diffusive CFL: 1.63e-02
i:  238540, sim time:  1997.920, wall time: 49.954 minutes, Δt:  0.0115, advective CFL: 4.82e-01, diffusive CFL: 1.63e-02
i:  238550, sim time:  1998.034, wall time: 49.957 minutes, Δt:  0.0120, advective CFL: 5.00e-01, diffusive CFL: 1.71e-02
i:  238560, sim time:  1998.155, wall time: 49.958 minutes, Δt:  0.0120, advective CFL: 4.95e-01, diffusive CFL: 1.71e-02
i:  238570, sim time:  1998.275, wall time: 49.960 minutes, Δt:  0.0120, advective CFL: 4.91e-01, diffusive CFL: 1.71e-02
i:  238580, sim time:  1998.396, wall time: 49.961 minutes, Δt:  0.0120, advective CFL: 5.00e-01, diffusive CFL: 1.71e-02
i:  238590, sim time:  1998.516, wall time: 49.962 minutes, Δt:  0.0120, advective CFL: 5.08e-01, diffusive CFL: 1.71e-02
i:  238600, sim time:  1998.637, wall time: 49.963 minutes, Δt:  0.0117, advective CFL: 5.00e-01, diffusive CFL: 1.66e-02
i:  238610, sim time:  1998.754, wall time: 49.964 minutes, Δt:  0.0117, advective CFL: 5.03e-01, diffusive CFL: 1.66e-02
i:  238620, sim time:  1998.871, wall time: 49.965 minutes, Δt:  0.0117, advective CFL: 4.99e-01, diffusive CFL: 1.66e-02
i:  238630, sim time:  1998.988, wall time: 49.967 minutes, Δt:  0.0117, advective CFL: 4.99e-01, diffusive CFL: 1.66e-02
i:  238640, sim time:  1999.106, wall time: 49.970 minutes, Δt:  0.0117, advective CFL: 4.93e-01, diffusive CFL: 1.66e-02
i:  238650, sim time:  1999.223, wall time: 49.971 minutes, Δt:  0.0121, advective CFL: 5.00e-01, diffusive CFL: 1.71e-02
i:  238660, sim time:  1999.344, wall time: 49.972 minutes, Δt:  0.0121, advective CFL: 4.89e-01, diffusive CFL: 1.71e-02
i:  238670, sim time:  1999.464, wall time: 49.974 minutes, Δt:  0.0121, advective CFL: 5.22e-01, diffusive CFL: 1.71e-02
i:  238680, sim time:  1999.585, wall time: 49.975 minutes, Δt:  0.0121, advective CFL: 5.58e-01, diffusive CFL: 1.71e-02
i:  238690, sim time:  1999.705, wall time: 49.976 minutes, Δt:  0.0121, advective CFL: 5.85e-01, diffusive CFL: 1.71e-02
i:  238700, sim time:  1999.826, wall time: 49.977 minutes, Δt:  0.0100, advective CFL: 5.00e-01, diffusive CFL: 1.42e-02
i:  238710, sim time:  1999.926, wall time: 49.978 minutes, Δt:  0.0100, advective CFL: 5.06e-01, diffusive CFL: 1.42e-02
i:  238720, sim time:  2000.020, wall time: 49.998 minutes, Δt:  0.0100, advective CFL: 5.08e-01, diffusive CFL: 1.42e-02
i:  238730, sim time:  2000.120, wall time: 49.999 minutes, Δt:  0.0100, advective CFL: 5.08e-01, diffusive CFL: 1.42e-02
i:  238740, sim time:  2000.221, wall time: 50.000 minutes, Δt:  0.0100, advective CFL: 5.06e-01, diffusive CFL: 1.42e-02
i:  238750, sim time:  2000.321, wall time: 50.002 minutes, Δt:  0.0100, advective CFL: 5.00e-01, diffusive CFL: 1.41e-02
i:  238760, sim time:  2000.420, wall time: 50.003 minutes, Δt:  0.0100, advective CFL: 4.98e-01, diffusive CFL: 1.41e-02
i:  238770, sim time:  2000.520, wall time: 50.004 minutes, Δt:  0.0100, advective CFL: 4.96e-01, diffusive CFL: 1.41e-02
i:  238780, sim time:  2000.619, wall time: 50.005 minutes, Δt:  0.0100, advective CFL: 4.94e-01, diffusive CFL: 1.41e-02
i:  238790, sim time:  2000.719, wall time: 50.006 minutes, Δt:  0.0100, advective CFL: 4.93e-01, diffusive CFL: 1.41e-02
i:  238800, sim time:  2000.818, wall time: 50.007 minutes, Δt:  0.0101, advective CFL: 5.00e-01, diffusive CFL: 1.43e-02
i:  238810, sim time:  2000.919, wall time: 50.009 minutes, Δt:  0.0101, advective CFL: 5.00e-01, diffusive CFL: 1.43e-02
i:  238820, sim time:  2001.020, wall time: 50.012 minutes, Δt:  0.0101, advective CFL: 5.00e-01, diffusive CFL: 1.43e-02
i:  238830, sim time:  2001.121, wall time: 50.013 minutes, Δt:  0.0101, advective CFL: 5.01e-01, diffusive CFL: 1.43e-02
i:  238840, sim time:  2001.222, wall time: 50.015 minutes, Δt:  0.0101, advective CFL: 5.02e-01, diffusive CFL: 1.43e-02
i:  238850, sim time:  2001.323, wall time: 50.016 minutes, Δt:  0.0100, advective CFL: 5.00e-01, diffusive CFL: 1.42e-02
i:  238860, sim time:  2001.424, wall time: 50.017 minutes, Δt:  0.0100, advective CFL: 5.01e-01, diffusive CFL: 1.42e-02
i:  238870, sim time:  2001.524, wall time: 50.018 minutes, Δt:  0.0100, advective CFL: 5.02e-01, diffusive CFL: 1.42e-02
i:  238880, sim time:  2001.624, wall time: 50.019 minutes, Δt:  0.0100, advective CFL: 5.03e-01, diffusive CFL: 1.42e-02
i:  238890, sim time:  2001.725, wall time: 50.020 minutes, Δt:  0.0100, advective CFL: 5.04e-01, diffusive CFL: 1.42e-02
i:  238900, sim time:  2001.825, wall time: 50.022 minutes, Δt:  0.0099, advective CFL: 5.00e-01, diffusive CFL: 1.41e-02
i:  238910, sim time:  2001.924, wall time: 50.023 minutes, Δt:  0.0099, advective CFL: 5.01e-01, diffusive CFL: 1.41e-02
i:  238920, sim time:  2002.020, wall time: 50.026 minutes, Δt:  0.0099, advective CFL: 5.02e-01, diffusive CFL: 1.41e-02
i:  238930, sim time:  2002.119, wall time: 50.027 minutes, Δt:  0.0099, advective CFL: 5.03e-01, diffusive CFL: 1.41e-02
i:  238940, sim time:  2002.218, wall time: 50.028 minutes, Δt:  0.0099, advective CFL: 5.04e-01, diffusive CFL: 1.41e-02
i:  238950, sim time:  2002.318, wall time: 50.030 minutes, Δt:  0.0099, advective CFL: 5.00e-01, diffusive CFL: 1.40e-02
i:  238960, sim time:  2002.416, wall time: 50.031 minutes, Δt:  0.0099, advective CFL: 4.99e-01, diffusive CFL: 1.40e-02
i:  238970, sim time:  2002.515, wall time: 50.032 minutes, Δt:  0.0099, advective CFL: 4.96e-01, diffusive CFL: 1.40e-02
i:  238980, sim time:  2002.614, wall time: 50.033 minutes, Δt:  0.0099, advective CFL: 4.99e-01, diffusive CFL: 1.40e-02
i:  238990, sim time:  2002.712, wall time: 50.034 minutes, Δt:  0.0099, advective CFL: 5.06e-01, diffusive CFL: 1.40e-02
i:  239000, sim time:  2002.811, wall time: 50.036 minutes, Δt:  0.0096, advective CFL: 5.00e-01, diffusive CFL: 1.37e-02
i:  239010, sim time:  2002.907, wall time: 50.037 minutes, Δt:  0.0096, advective CFL: 5.05e-01, diffusive CFL: 1.37e-02
i:  239020, sim time:  2003.000, wall time: 50.038 minutes, Δt:  0.0096, advective CFL: 5.09e-01, diffusive CFL: 1.37e-02
i:  239030, sim time:  2003.096, wall time: 50.041 minutes, Δt:  0.0096, advective CFL: 5.13e-01, diffusive CFL: 1.37e-02
i:  239040, sim time:  2003.193, wall time: 50.043 minutes, Δt:  0.0096, advective CFL: 5.16e-01, diffusive CFL: 1.37e-02
i:  239050, sim time:  2003.289, wall time: 50.044 minutes, Δt:  0.0093, advective CFL: 5.00e-01, diffusive CFL: 1.31e-02
i:  239060, sim time:  2003.382, wall time: 50.045 minutes, Δt:  0.0093, advective CFL: 5.05e-01, diffusive CFL: 1.31e-02
i:  239070, sim time:  2003.475, wall time: 50.046 minutes, Δt:  0.0093, advective CFL: 5.11e-01, diffusive CFL: 1.31e-02
i:  239080, sim time:  2003.568, wall time: 50.047 minutes, Δt:  0.0093, advective CFL: 5.16e-01, diffusive CFL: 1.31e-02
i:  239090, sim time:  2003.661, wall time: 50.049 minutes, Δt:  0.0093, advective CFL: 5.20e-01, diffusive CFL: 1.31e-02
i:  239100, sim time:  2003.753, wall time: 50.050 minutes, Δt:  0.0089, advective CFL: 5.00e-01, diffusive CFL: 1.26e-02
i:  239110, sim time:  2003.842, wall time: 50.051 minutes, Δt:  0.0089, advective CFL: 4.99e-01, diffusive CFL: 1.26e-02
i:  239120, sim time:  2003.931, wall time: 50.052 minutes, Δt:  0.0089, advective CFL: 4.95e-01, diffusive CFL: 1.26e-02
i:  239130, sim time:  2004.018, wall time: 50.055 minutes, Δt:  0.0089, advective CFL: 4.90e-01, diffusive CFL: 1.26e-02
i:  239140, sim time:  2004.107, wall time: 50.056 minutes, Δt:  0.0089, advective CFL: 4.82e-01, diffusive CFL: 1.26e-02
i:  239150, sim time:  2004.196, wall time: 50.057 minutes, Δt:  0.0092, advective CFL: 5.00e-01, diffusive CFL: 1.30e-02
i:  239160, sim time:  2004.288, wall time: 50.059 minutes, Δt:  0.0092, advective CFL: 5.05e-01, diffusive CFL: 1.30e-02
i:  239170, sim time:  2004.380, wall time: 50.060 minutes, Δt:  0.0092, advective CFL: 5.10e-01, diffusive CFL: 1.30e-02
i:  239180, sim time:  2004.472, wall time: 50.061 minutes, Δt:  0.0092, advective CFL: 5.15e-01, diffusive CFL: 1.30e-02
i:  239190, sim time:  2004.564, wall time: 50.062 minutes, Δt:  0.0092, advective CFL: 5.19e-01, diffusive CFL: 1.30e-02
i:  239200, sim time:  2004.656, wall time: 50.063 minutes, Δt:  0.0088, advective CFL: 5.00e-01, diffusive CFL: 1.25e-02
i:  239210, sim time:  2004.744, wall time: 50.064 minutes, Δt:  0.0088, advective CFL: 5.02e-01, diffusive CFL: 1.25e-02
i:  239220, sim time:  2004.833, wall time: 50.066 minutes, Δt:  0.0088, advective CFL: 5.03e-01, diffusive CFL: 1.25e-02
i:  239230, sim time:  2004.921, wall time: 50.067 minutes, Δt:  0.0088, advective CFL: 5.04e-01, diffusive CFL: 1.25e-02
i:  239240, sim time:  2005.009, wall time: 50.070 minutes, Δt:  0.0088, advective CFL: 5.03e-01, diffusive CFL: 1.25e-02
i:  239250, sim time:  2005.097, wall time: 50.072 minutes, Δt:  0.0088, advective CFL: 5.00e-01, diffusive CFL: 1.24e-02
i:  239260, sim time:  2005.185, wall time: 50.073 minutes, Δt:  0.0088, advective CFL: 4.98e-01, diffusive CFL: 1.24e-02
i:  239270, sim time:  2005.273, wall time: 50.074 minutes, Δt:  0.0088, advective CFL: 4.96e-01, diffusive CFL: 1.24e-02
i:  239280, sim time:  2005.361, wall time: 50.075 minutes, Δt:  0.0088, advective CFL: 4.93e-01, diffusive CFL: 1.24e-02
i:  239290, sim time:  2005.449, wall time: 50.076 minutes, Δt:  0.0088, advective CFL: 4.89e-01, diffusive CFL: 1.24e-02
i:  239300, sim time:  2005.537, wall time: 50.077 minutes, Δt:  0.0091, advective CFL: 5.00e-01, diffusive CFL: 1.28e-02
i:  239310, sim time:  2005.627, wall time: 50.079 minutes, Δt:  0.0091, advective CFL: 4.96e-01, diffusive CFL: 1.28e-02
i:  239320, sim time:  2005.718, wall time: 50.080 minutes, Δt:  0.0091, advective CFL: 4.92e-01, diffusive CFL: 1.28e-02
i:  239330, sim time:  2005.808, wall time: 50.081 minutes, Δt:  0.0091, advective CFL: 4.88e-01, diffusive CFL: 1.28e-02
i:  239340, sim time:  2005.899, wall time: 50.082 minutes, Δt:  0.0091, advective CFL: 4.84e-01, diffusive CFL: 1.28e-02
i:  239350, sim time:  2005.989, wall time: 50.083 minutes, Δt:  0.0094, advective CFL: 5.00e-01, diffusive CFL: 1.33e-02
i:  239360, sim time:  2006.075, wall time: 50.086 minutes, Δt:  0.0094, advective CFL: 4.97e-01, diffusive CFL: 1.33e-02
i:  239370, sim time:  2006.169, wall time: 50.087 minutes, Δt:  0.0094, advective CFL: 4.94e-01, diffusive CFL: 1.33e-02
i:  239380, sim time:  2006.263, wall time: 50.089 minutes, Δt:  0.0094, advective CFL: 4.91e-01, diffusive CFL: 1.33e-02
i:  239390, sim time:  2006.358, wall time: 50.090 minutes, Δt:  0.0094, advective CFL: 4.89e-01, diffusive CFL: 1.33e-02
i:  239400, sim time:  2006.452, wall time: 50.091 minutes, Δt:  0.0097, advective CFL: 5.00e-01, diffusive CFL: 1.37e-02
i:  239410, sim time:  2006.548, wall time: 50.092 minutes, Δt:  0.0097, advective CFL: 4.99e-01, diffusive CFL: 1.37e-02
i:  239420, sim time:  2006.645, wall time: 50.093 minutes, Δt:  0.0097, advective CFL: 4.97e-01, diffusive CFL: 1.37e-02
i:  239430, sim time:  2006.741, wall time: 50.094 minutes, Δt:  0.0097, advective CFL: 4.97e-01, diffusive CFL: 1.37e-02
i:  239440, sim time:  2006.838, wall time: 50.096 minutes, Δt:  0.0097, advective CFL: 4.96e-01, diffusive CFL: 1.37e-02
i:  239450, sim time:  2006.935, wall time: 50.097 minutes, Δt:  0.0097, advective CFL: 5.00e-01, diffusive CFL: 1.37e-02
i:  239460, sim time:  2007.029, wall time: 50.100 minutes, Δt:  0.0097, advective CFL: 5.03e-01, diffusive CFL: 1.37e-02
i:  239470, sim time:  2007.125, wall time: 50.101 minutes, Δt:  0.0097, advective CFL: 5.07e-01, diffusive CFL: 1.37e-02
i:  239480, sim time:  2007.222, wall time: 50.102 minutes, Δt:  0.0097, advective CFL: 5.10e-01, diffusive CFL: 1.37e-02
i:  239490, sim time:  2007.319, wall time: 50.104 minutes, Δt:  0.0097, advective CFL: 5.13e-01, diffusive CFL: 1.37e-02
i:  239500, sim time:  2007.415, wall time: 50.105 minutes, Δt:  0.0094, advective CFL: 5.00e-01, diffusive CFL: 1.32e-02
i:  239510, sim time:  2007.509, wall time: 50.106 minutes, Δt:  0.0094, advective CFL: 5.03e-01, diffusive CFL: 1.32e-02
i:  239520, sim time:  2007.602, wall time: 50.107 minutes, Δt:  0.0094, advective CFL: 5.05e-01, diffusive CFL: 1.32e-02
i:  239530, sim time:  2007.696, wall time: 50.108 minutes, Δt:  0.0094, advective CFL: 5.05e-01, diffusive CFL: 1.32e-02
i:  239540, sim time:  2007.789, wall time: 50.109 minutes, Δt:  0.0094, advective CFL: 5.03e-01, diffusive CFL: 1.32e-02
i:  239550, sim time:  2007.883, wall time: 50.110 minutes, Δt:  0.0094, advective CFL: 5.00e-01, diffusive CFL: 1.33e-02
i:  239560, sim time:  2007.977, wall time: 50.112 minutes, Δt:  0.0094, advective CFL: 4.92e-01, diffusive CFL: 1.33e-02
i:  239570, sim time:  2008.066, wall time: 50.115 minutes, Δt:  0.0094, advective CFL: 4.88e-01, diffusive CFL: 1.33e-02
i:  239580, sim time:  2008.160, wall time: 50.116 minutes, Δt:  0.0094, advective CFL: 4.91e-01, diffusive CFL: 1.33e-02
i:  239590, sim time:  2008.254, wall time: 50.118 minutes, Δt:  0.0094, advective CFL: 4.91e-01, diffusive CFL: 1.33e-02
i:  239600, sim time:  2008.348, wall time: 50.119 minutes, Δt:  0.0096, advective CFL: 5.00e-01, diffusive CFL: 1.36e-02
i:  239610, sim time:  2008.443, wall time: 50.120 minutes, Δt:  0.0096, advective CFL: 4.98e-01, diffusive CFL: 1.36e-02
i:  239620, sim time:  2008.539, wall time: 50.121 minutes, Δt:  0.0096, advective CFL: 4.96e-01, diffusive CFL: 1.36e-02
i:  239630, sim time:  2008.635, wall time: 50.122 minutes, Δt:  0.0096, advective CFL: 4.93e-01, diffusive CFL: 1.36e-02
i:  239640, sim time:  2008.731, wall time: 50.123 minutes, Δt:  0.0096, advective CFL: 4.91e-01, diffusive CFL: 1.36e-02
i:  239650, sim time:  2008.827, wall time: 50.125 minutes, Δt:  0.0098, advective CFL: 5.00e-01, diffusive CFL: 1.39e-02
i:  239660, sim time:  2008.925, wall time: 50.126 minutes, Δt:  0.0098, advective CFL: 4.97e-01, diffusive CFL: 1.39e-02
i:  239670, sim time:  2009.020, wall time: 50.129 minutes, Δt:  0.0098, advective CFL: 4.94e-01, diffusive CFL: 1.39e-02
i:  239680, sim time:  2009.118, wall time: 50.131 minutes, Δt:  0.0098, advective CFL: 4.92e-01, diffusive CFL: 1.39e-02
i:  239690, sim time:  2009.216, wall time: 50.132 minutes, Δt:  0.0098, advective CFL: 4.89e-01, diffusive CFL: 1.39e-02
i:  239700, sim time:  2009.314, wall time: 50.133 minutes, Δt:  0.0101, advective CFL: 5.00e-01, diffusive CFL: 1.43e-02
i:  239710, sim time:  2009.415, wall time: 50.134 minutes, Δt:  0.0101, advective CFL: 4.97e-01, diffusive CFL: 1.43e-02
i:  239720, sim time:  2009.516, wall time: 50.135 minutes, Δt:  0.0101, advective CFL: 4.94e-01, diffusive CFL: 1.43e-02
i:  239730, sim time:  2009.617, wall time: 50.137 minutes, Δt:  0.0101, advective CFL: 4.90e-01, diffusive CFL: 1.43e-02
i:  239740, sim time:  2009.718, wall time: 50.138 minutes, Δt:  0.0101, advective CFL: 4.87e-01, diffusive CFL: 1.43e-02
i:  239750, sim time:  2009.819, wall time: 50.139 minutes, Δt:  0.0104, advective CFL: 5.00e-01, diffusive CFL: 1.48e-02
i:  239760, sim time:  2009.924, wall time: 50.140 minutes, Δt:  0.0104, advective CFL: 4.97e-01, diffusive CFL: 1.48e-02
i:  239770, sim time:  2010.021, wall time: 50.144 minutes, Δt:  0.0104, advective CFL: 5.04e-01, diffusive CFL: 1.48e-02
i:  239780, sim time:  2010.125, wall time: 50.145 minutes, Δt:  0.0104, advective CFL: 5.26e-01, diffusive CFL: 1.48e-02
i:  239790, sim time:  2010.230, wall time: 50.147 minutes, Δt:  0.0104, advective CFL: 5.42e-01, diffusive CFL: 1.48e-02
i:  239800, sim time:  2010.334, wall time: 50.148 minutes, Δt:  0.0095, advective CFL: 5.00e-01, diffusive CFL: 1.34e-02
i:  239810, sim time:  2010.429, wall time: 50.149 minutes, Δt:  0.0095, advective CFL: 5.04e-01, diffusive CFL: 1.34e-02
i:  239820, sim time:  2010.523, wall time: 50.150 minutes, Δt:  0.0095, advective CFL: 5.06e-01, diffusive CFL: 1.34e-02
i:  239830, sim time:  2010.618, wall time: 50.151 minutes, Δt:  0.0095, advective CFL: 5.05e-01, diffusive CFL: 1.34e-02
i:  239840, sim time:  2010.713, wall time: 50.152 minutes, Δt:  0.0095, advective CFL: 5.02e-01, diffusive CFL: 1.34e-02
i:  239850, sim time:  2010.807, wall time: 50.154 minutes, Δt:  0.0095, advective CFL: 5.00e-01, diffusive CFL: 1.34e-02
i:  239860, sim time:  2010.902, wall time: 50.155 minutes, Δt:  0.0095, advective CFL: 4.96e-01, diffusive CFL: 1.34e-02
i:  239870, sim time:  2010.997, wall time: 50.156 minutes, Δt:  0.0095, advective CFL: 4.92e-01, diffusive CFL: 1.34e-02
i:  239880, sim time:  2011.085, wall time: 50.159 minutes, Δt:  0.0095, advective CFL: 4.88e-01, diffusive CFL: 1.34e-02
i:  239890, sim time:  2011.180, wall time: 50.160 minutes, Δt:  0.0095, advective CFL: 4.83e-01, diffusive CFL: 1.34e-02
i:  239900, sim time:  2011.275, wall time: 50.161 minutes, Δt:  0.0099, advective CFL: 5.00e-01, diffusive CFL: 1.40e-02
i:  239910, sim time:  2011.374, wall time: 50.162 minutes, Δt:  0.0099, advective CFL: 5.06e-01, diffusive CFL: 1.40e-02
i:  239920, sim time:  2011.472, wall time: 50.163 minutes, Δt:  0.0099, advective CFL: 5.11e-01, diffusive CFL: 1.40e-02
i:  239930, sim time:  2011.571, wall time: 50.165 minutes, Δt:  0.0099, advective CFL: 5.15e-01, diffusive CFL: 1.40e-02
i:  239940, sim time:  2011.669, wall time: 50.166 minutes, Δt:  0.0099, advective CFL: 5.19e-01, diffusive CFL: 1.40e-02
i:  239950, sim time:  2011.768, wall time: 50.167 minutes, Δt:  0.0094, advective CFL: 5.00e-01, diffusive CFL: 1.34e-02
i:  239960, sim time:  2011.862, wall time: 50.168 minutes, Δt:  0.0094, advective CFL: 5.03e-01, diffusive CFL: 1.34e-02
i:  239970, sim time:  2011.956, wall time: 50.169 minutes, Δt:  0.0094, advective CFL: 5.06e-01, diffusive CFL: 1.34e-02
i:  239980, sim time:  2012.047, wall time: 50.173 minutes, Δt:  0.0094, advective CFL: 5.07e-01, diffusive CFL: 1.34e-02
i:  239990, sim time:  2012.141, wall time: 50.174 minutes, Δt:  0.0094, advective CFL: 5.06e-01, diffusive CFL: 1.34e-02
i:  240000, sim time:  2012.236, wall time: 50.175 minutes, Δt:  0.0094, advective CFL: 5.00e-01, diffusive CFL: 1.34e-02
i:  240010, sim time:  2012.330, wall time: 50.177 minutes, Δt:  0.0094, advective CFL: 4.85e-01, diffusive CFL: 1.34e-02
i:  240020, sim time:  2012.425, wall time: 50.178 minutes, Δt:  0.0094, advective CFL: 4.62e-01, diffusive CFL: 1.34e-02
i:  240030, sim time:  2012.519, wall time: 50.179 minutes, Δt:  0.0094, advective CFL: 4.73e-01, diffusive CFL: 1.34e-02
i:  240040, sim time:  2012.614, wall time: 50.180 minutes, Δt:  0.0094, advective CFL: 4.84e-01, diffusive CFL: 1.34e-02
i:  240050, sim time:  2012.708, wall time: 50.181 minutes, Δt:  0.0096, advective CFL: 5.00e-01, diffusive CFL: 1.36e-02
i:  240060, sim time:  2012.804, wall time: 50.183 minutes, Δt:  0.0096, advective CFL: 5.05e-01, diffusive CFL: 1.36e-02
i:  240070, sim time:  2012.900, wall time: 50.184 minutes, Δt:  0.0096, advective CFL: 5.07e-01, diffusive CFL: 1.36e-02
i:  240080, sim time:  2012.997, wall time: 50.185 minutes, Δt:  0.0096, advective CFL: 5.08e-01, diffusive CFL: 1.36e-02
i:  240090, sim time:  2013.087, wall time: 50.188 minutes, Δt:  0.0096, advective CFL: 5.09e-01, diffusive CFL: 1.36e-02
i:  240100, sim time:  2013.183, wall time: 50.189 minutes, Δt:  0.0095, advective CFL: 5.00e-01, diffusive CFL: 1.34e-02
i:  240110, sim time:  2013.277, wall time: 50.190 minutes, Δt:  0.0095, advective CFL: 4.99e-01, diffusive CFL: 1.34e-02
i:  240120, sim time:  2013.372, wall time: 50.191 minutes, Δt:  0.0095, advective CFL: 4.97e-01, diffusive CFL: 1.34e-02
i:  240130, sim time:  2013.467, wall time: 50.192 minutes, Δt:  0.0095, advective CFL: 4.95e-01, diffusive CFL: 1.34e-02
i:  240140, sim time:  2013.561, wall time: 50.193 minutes, Δt:  0.0095, advective CFL: 4.92e-01, diffusive CFL: 1.34e-02
i:  240150, sim time:  2013.656, wall time: 50.195 minutes, Δt:  0.0097, advective CFL: 5.00e-01, diffusive CFL: 1.37e-02
i:  240160, sim time:  2013.753, wall time: 50.196 minutes, Δt:  0.0097, advective CFL: 4.97e-01, diffusive CFL: 1.37e-02
i:  240170, sim time:  2013.849, wall time: 50.197 minutes, Δt:  0.0097, advective CFL: 4.93e-01, diffusive CFL: 1.37e-02
i:  240180, sim time:  2013.946, wall time: 50.198 minutes, Δt:  0.0097, advective CFL: 4.90e-01, diffusive CFL: 1.37e-02
i:  240190, sim time:  2014.039, wall time: 50.201 minutes, Δt:  0.0097, advective CFL: 4.86e-01, diffusive CFL: 1.37e-02
i:  240200, sim time:  2014.135, wall time: 50.202 minutes, Δt:  0.0100, advective CFL: 5.00e-01, diffusive CFL: 1.42e-02
i:  240210, sim time:  2014.235, wall time: 50.204 minutes, Δt:  0.0100, advective CFL: 5.01e-01, diffusive CFL: 1.42e-02
i:  240220, sim time:  2014.335, wall time: 50.205 minutes, Δt:  0.0100, advective CFL: 5.05e-01, diffusive CFL: 1.42e-02
i:  240230, sim time:  2014.436, wall time: 50.206 minutes, Δt:  0.0100, advective CFL: 5.08e-01, diffusive CFL: 1.42e-02
i:  240240, sim time:  2014.536, wall time: 50.207 minutes, Δt:  0.0100, advective CFL: 5.11e-01, diffusive CFL: 1.42e-02
i:  240250, sim time:  2014.636, wall time: 50.208 minutes, Δt:  0.0098, advective CFL: 5.00e-01, diffusive CFL: 1.38e-02
i:  240260, sim time:  2014.733, wall time: 50.209 minutes, Δt:  0.0098, advective CFL: 5.00e-01, diffusive CFL: 1.38e-02
i:  240270, sim time:  2014.831, wall time: 50.210 minutes, Δt:  0.0098, advective CFL: 4.99e-01, diffusive CFL: 1.38e-02
i:  240280, sim time:  2014.928, wall time: 50.212 minutes, Δt:  0.0098, advective CFL: 4.97e-01, diffusive CFL: 1.38e-02
i:  240290, sim time:  2015.020, wall time: 50.216 minutes, Δt:  0.0098, advective CFL: 4.94e-01, diffusive CFL: 1.38e-02
i:  240300, sim time:  2015.117, wall time: 50.217 minutes, Δt:  0.0097, advective CFL: 5.00e-01, diffusive CFL: 1.38e-02
i:  240310, sim time:  2015.214, wall time: 50.218 minutes, Δt:  0.0097, advective CFL: 5.07e-01, diffusive CFL: 1.38e-02
i:  240320, sim time:  2015.312, wall time: 50.219 minutes, Δt:  0.0097, advective CFL: 5.14e-01, diffusive CFL: 1.38e-02
i:  240330, sim time:  2015.409, wall time: 50.220 minutes, Δt:  0.0097, advective CFL: 5.22e-01, diffusive CFL: 1.38e-02
i:  240340, sim time:  2015.507, wall time: 50.222 minutes, Δt:  0.0097, advective CFL: 5.30e-01, diffusive CFL: 1.38e-02
i:  240350, sim time:  2015.604, wall time: 50.223 minutes, Δt:  0.0090, advective CFL: 5.00e-01, diffusive CFL: 1.28e-02
i:  240360, sim time:  2015.694, wall time: 50.224 minutes, Δt:  0.0090, advective CFL: 5.07e-01, diffusive CFL: 1.28e-02
i:  240370, sim time:  2015.785, wall time: 50.225 minutes, Δt:  0.0090, advective CFL: 5.12e-01, diffusive CFL: 1.28e-02
i:  240380, sim time:  2015.875, wall time: 50.226 minutes, Δt:  0.0090, advective CFL: 5.15e-01, diffusive CFL: 1.28e-02
i:  240390, sim time:  2015.966, wall time: 50.228 minutes, Δt:  0.0090, advective CFL: 5.15e-01, diffusive CFL: 1.28e-02
i:  240400, sim time:  2016.054, wall time: 50.231 minutes, Δt:  0.0089, advective CFL: 5.00e-01, diffusive CFL: 1.26e-02
i:  240410, sim time:  2016.143, wall time: 50.232 minutes, Δt:  0.0089, advective CFL: 4.88e-01, diffusive CFL: 1.26e-02
i:  240420, sim time:  2016.232, wall time: 50.233 minutes, Δt:  0.0089, advective CFL: 4.69e-01, diffusive CFL: 1.26e-02
i:  240430, sim time:  2016.321, wall time: 50.234 minutes, Δt:  0.0089, advective CFL: 4.46e-01, diffusive CFL: 1.26e-02
i:  240440, sim time:  2016.410, wall time: 50.235 minutes, Δt:  0.0089, advective CFL: 4.60e-01, diffusive CFL: 1.26e-02
i:  240450, sim time:  2016.499, wall time: 50.236 minutes, Δt:  0.0092, advective CFL: 5.00e-01, diffusive CFL: 1.31e-02
i:  240460, sim time:  2016.591, wall time: 50.238 minutes, Δt:  0.0092, advective CFL: 5.17e-01, diffusive CFL: 1.31e-02
i:  240470, sim time:  2016.683, wall time: 50.239 minutes, Δt:  0.0092, advective CFL: 5.28e-01, diffusive CFL: 1.31e-02
i:  240480, sim time:  2016.775, wall time: 50.240 minutes, Δt:  0.0092, advective CFL: 5.36e-01, diffusive CFL: 1.31e-02
i:  240490, sim time:  2016.867, wall time: 50.241 minutes, Δt:  0.0092, advective CFL: 5.40e-01, diffusive CFL: 1.31e-02
i:  240500, sim time:  2016.959, wall time: 50.242 minutes, Δt:  0.0085, advective CFL: 5.00e-01, diffusive CFL: 1.20e-02
i:  240510, sim time:  2017.043, wall time: 50.245 minutes, Δt:  0.0085, advective CFL: 5.00e-01, diffusive CFL: 1.20e-02
i:  240520, sim time:  2017.128, wall time: 50.246 minutes, Δt:  0.0085, advective CFL: 4.99e-01, diffusive CFL: 1.20e-02
i:  240530, sim time:  2017.213, wall time: 50.248 minutes, Δt:  0.0085, advective CFL: 4.98e-01, diffusive CFL: 1.20e-02
