i:      0, sim time:  0.000, wall time:  0 seconds, Δt:  0.0101, advective CFL: 0.00e+00, diffusive CFL: 1.43e-02
i:    700, sim time:  12.355, wall time: 1.241 minutes, Δt:  0.0147, advective CFL: 5.00e-01, diffusive CFL: 2.09e-02
i:    710, sim time:  12.502, wall time: 1.242 minutes, Δt:  0.0147, advective CFL: 5.07e-01, diffusive CFL: 2.09e-02
i:    720, sim time:  12.649, wall time: 1.244 minutes, Δt:  0.0147, advective CFL: 4.97e-01, diffusive CFL: 2.09e-02
i:    730, sim time:  12.797, wall time: 1.245 minutes, Δt:  0.0147, advective CFL: 4.94e-01, diffusive CFL: 2.09e-02
i:    740, sim time:  12.944, wall time: 1.246 minutes, Δt:  0.0147, advective CFL: 5.09e-01, diffusive CFL: 2.09e-02
i:    750, sim time:  13.088, wall time: 1.248 minutes, Δt:  0.0145, advective CFL: 5.00e-01, diffusive CFL: 2.05e-02
i:    760, sim time:  13.233, wall time: 1.249 minutes, Δt:  0.0145, advective CFL: 5.36e-01, diffusive CFL: 2.05e-02
i:    770, sim time:  13.378, wall time: 1.250 minutes, Δt:  0.0145, advective CFL: 5.68e-01, diffusive CFL: 2.05e-02
i:    780, sim time:  13.523, wall time: 1.251 minutes, Δt:  0.0145, advective CFL: 5.98e-01, diffusive CFL: 2.05e-02
i:    790, sim time:  13.667, wall time: 1.252 minutes, Δt:  0.0145, advective CFL: 6.28e-01, diffusive CFL: 2.05e-02
i:    800, sim time:  13.812, wall time: 1.253 minutes, Δt:  0.0112, advective CFL: 5.00e-01, diffusive CFL: 1.59e-02
i:    810, sim time:  13.924, wall time: 1.255 minutes, Δt:  0.0112, advective CFL: 5.04e-01, diffusive CFL: 1.59e-02
i:    820, sim time:  14.034, wall time: 1.256 minutes, Δt:  0.0112, advective CFL: 5.02e-01, diffusive CFL: 1.59e-02
i:    830, sim time:  14.146, wall time: 1.257 minutes, Δt:  0.0112, advective CFL: 4.93e-01, diffusive CFL: 1.59e-02
i:    840, sim time:  14.257, wall time: 1.259 minutes, Δt:  0.0112, advective CFL: 4.93e-01, diffusive CFL: 1.59e-02
i:    850, sim time:  14.369, wall time: 1.260 minutes, Δt:  0.0114, advective CFL: 5.00e-01, diffusive CFL: 1.62e-02
i:    860, sim time:  14.484, wall time: 1.261 minutes, Δt:  0.0114, advective CFL: 4.77e-01, diffusive CFL: 1.62e-02
i:    870, sim time:  14.598, wall time: 1.262 minutes, Δt:  0.0114, advective CFL: 4.59e-01, diffusive CFL: 1.62e-02
i:    880, sim time:  14.712, wall time: 1.263 minutes, Δt:  0.0114, advective CFL: 4.43e-01, diffusive CFL: 1.62e-02
i:    890, sim time:  14.826, wall time: 1.265 minutes, Δt:  0.0114, advective CFL: 4.36e-01, diffusive CFL: 1.62e-02
i:    900, sim time:  14.940, wall time: 1.266 minutes, Δt:  0.0126, advective CFL: 4.83e-01, diffusive CFL: 1.78e-02
i:    910, sim time:  15.063, wall time: 1.268 minutes, Δt:  0.0126, advective CFL: 5.02e-01, diffusive CFL: 1.78e-02
i:    920, sim time:  15.188, wall time: 1.269 minutes, Δt:  0.0126, advective CFL: 5.20e-01, diffusive CFL: 1.78e-02
i:    930, sim time:  15.314, wall time: 1.270 minutes, Δt:  0.0126, advective CFL: 5.31e-01, diffusive CFL: 1.78e-02
i:    940, sim time:  15.440, wall time: 1.271 minutes, Δt:  0.0126, advective CFL: 5.40e-01, diffusive CFL: 1.78e-02
i:    950, sim time:  15.565, wall time: 1.272 minutes, Δt:  0.0112, advective CFL: 5.00e-01, diffusive CFL: 1.58e-02
i:    960, sim time:  15.677, wall time: 1.274 minutes, Δt:  0.0112, advective CFL: 5.20e-01, diffusive CFL: 1.58e-02
i:    970, sim time:  15.788, wall time: 1.275 minutes, Δt:  0.0112, advective CFL: 5.29e-01, diffusive CFL: 1.58e-02
i:    980, sim time:  15.900, wall time: 1.276 minutes, Δt:  0.0112, advective CFL: 5.28e-01, diffusive CFL: 1.58e-02
i:    990, sim time:  16.011, wall time: 1.277 minutes, Δt:  0.0112, advective CFL: 5.28e-01, diffusive CFL: 1.58e-02
i:   1000, sim time:  16.123, wall time: 1.279 minutes, Δt:  0.0106, advective CFL: 5.00e-01, diffusive CFL: 1.50e-02
i:   1010, sim time:  16.229, wall time: 1.280 minutes, Δt:  0.0106, advective CFL: 4.89e-01, diffusive CFL: 1.50e-02
i:   1020, sim time:  16.335, wall time: 1.281 minutes, Δt:  0.0106, advective CFL: 4.78e-01, diffusive CFL: 1.50e-02
i:   1030, sim time:  16.441, wall time: 1.283 minutes, Δt:  0.0106, advective CFL: 4.66e-01, diffusive CFL: 1.50e-02
i:   1040, sim time:  16.547, wall time: 1.284 minutes, Δt:  0.0106, advective CFL: 4.78e-01, diffusive CFL: 1.50e-02
i:   1050, sim time:  16.653, wall time: 1.285 minutes, Δt:  0.0109, advective CFL: 5.00e-01, diffusive CFL: 1.54e-02
i:   1060, sim time:  16.761, wall time: 1.286 minutes, Δt:  0.0109, advective CFL: 5.08e-01, diffusive CFL: 1.54e-02
i:   1070, sim time:  16.870, wall time: 1.287 minutes, Δt:  0.0109, advective CFL: 5.18e-01, diffusive CFL: 1.54e-02
i:   1080, sim time:  16.979, wall time: 1.289 minutes, Δt:  0.0109, advective CFL: 5.39e-01, diffusive CFL: 1.54e-02
i:   1090, sim time:  17.087, wall time: 1.290 minutes, Δt:  0.0109, advective CFL: 5.64e-01, diffusive CFL: 1.54e-02
i:   1100, sim time:  17.196, wall time: 1.291 minutes, Δt:  0.0093, advective CFL: 5.00e-01, diffusive CFL: 1.31e-02
i:   1110, sim time:  17.288, wall time: 1.293 minutes, Δt:  0.0093, advective CFL: 5.20e-01, diffusive CFL: 1.31e-02
i:   1120, sim time:  17.381, wall time: 1.294 minutes, Δt:  0.0093, advective CFL: 5.41e-01, diffusive CFL: 1.31e-02
i:   1130, sim time:  17.474, wall time: 1.295 minutes, Δt:  0.0093, advective CFL: 5.62e-01, diffusive CFL: 1.31e-02
i:   1140, sim time:  17.566, wall time: 1.296 minutes, Δt:  0.0093, advective CFL: 5.81e-01, diffusive CFL: 1.31e-02
i:   1150, sim time:  17.659, wall time: 1.297 minutes, Δt:  0.0078, advective CFL: 5.00e-01, diffusive CFL: 1.10e-02
i:   1160, sim time:  17.736, wall time: 1.299 minutes, Δt:  0.0078, advective CFL: 5.06e-01, diffusive CFL: 1.10e-02
i:   1170, sim time:  17.814, wall time: 1.300 minutes, Δt:  0.0078, advective CFL: 5.10e-01, diffusive CFL: 1.10e-02
i:   1180, sim time:  17.892, wall time: 1.301 minutes, Δt:  0.0078, advective CFL: 5.10e-01, diffusive CFL: 1.10e-02
i:   1190, sim time:  17.969, wall time: 1.302 minutes, Δt:  0.0078, advective CFL: 5.05e-01, diffusive CFL: 1.10e-02
i:   1200, sim time:  18.047, wall time: 1.304 minutes, Δt:  0.0077, advective CFL: 5.00e-01, diffusive CFL: 1.10e-02
i:   1210, sim time:  18.124, wall time: 1.305 minutes, Δt:  0.0077, advective CFL: 4.93e-01, diffusive CFL: 1.10e-02
i:   1220, sim time:  18.201, wall time: 1.306 minutes, Δt:  0.0077, advective CFL: 4.89e-01, diffusive CFL: 1.10e-02
i:   1230, sim time:  18.279, wall time: 1.307 minutes, Δt:  0.0077, advective CFL: 5.06e-01, diffusive CFL: 1.10e-02
i:   1240, sim time:  18.356, wall time: 1.308 minutes, Δt:  0.0077, advective CFL: 5.17e-01, diffusive CFL: 1.10e-02
i:   1250, sim time:  18.433, wall time: 1.310 minutes, Δt:  0.0074, advective CFL: 5.00e-01, diffusive CFL: 1.05e-02
i:   1260, sim time:  18.508, wall time: 1.311 minutes, Δt:  0.0074, advective CFL: 5.02e-01, diffusive CFL: 1.05e-02
i:   1270, sim time:  18.582, wall time: 1.312 minutes, Δt:  0.0074, advective CFL: 4.98e-01, diffusive CFL: 1.05e-02
i:   1280, sim time:  18.657, wall time: 1.313 minutes, Δt:  0.0074, advective CFL: 4.91e-01, diffusive CFL: 1.05e-02
i:   1290, sim time:  18.731, wall time: 1.314 minutes, Δt:  0.0074, advective CFL: 4.84e-01, diffusive CFL: 1.05e-02
i:   1300, sim time:  18.806, wall time: 1.316 minutes, Δt:  0.0078, advective CFL: 5.00e-01, diffusive CFL: 1.11e-02
i:   1310, sim time:  18.884, wall time: 1.317 minutes, Δt:  0.0078, advective CFL: 4.88e-01, diffusive CFL: 1.11e-02
i:   1320, sim time:  18.962, wall time: 1.318 minutes, Δt:  0.0078, advective CFL: 4.75e-01, diffusive CFL: 1.11e-02
i:   1330, sim time:  19.039, wall time: 1.320 minutes, Δt:  0.0078, advective CFL: 4.62e-01, diffusive CFL: 1.11e-02
i:   1340, sim time:  19.118, wall time: 1.321 minutes, Δt:  0.0078, advective CFL: 4.49e-01, diffusive CFL: 1.11e-02
i:   1350, sim time:  19.196, wall time: 1.322 minutes, Δt:  0.0086, advective CFL: 4.80e-01, diffusive CFL: 1.22e-02
i:   1360, sim time:  19.282, wall time: 1.323 minutes, Δt:  0.0086, advective CFL: 4.67e-01, diffusive CFL: 1.22e-02
i:   1370, sim time:  19.368, wall time: 1.325 minutes, Δt:  0.0086, advective CFL: 4.61e-01, diffusive CFL: 1.22e-02
i:   1380, sim time:  19.454, wall time: 1.326 minutes, Δt:  0.0086, advective CFL: 4.66e-01, diffusive CFL: 1.22e-02
i:   1390, sim time:  19.541, wall time: 1.327 minutes, Δt:  0.0086, advective CFL: 4.68e-01, diffusive CFL: 1.22e-02
i:   1400, sim time:  19.627, wall time: 1.328 minutes, Δt:  0.0092, advective CFL: 5.00e-01, diffusive CFL: 1.30e-02
i:   1410, sim time:  19.719, wall time: 1.329 minutes, Δt:  0.0092, advective CFL: 4.92e-01, diffusive CFL: 1.30e-02
i:   1420, sim time:  19.811, wall time: 1.331 minutes, Δt:  0.0092, advective CFL: 4.80e-01, diffusive CFL: 1.30e-02
i:   1430, sim time:  19.903, wall time: 1.332 minutes, Δt:  0.0092, advective CFL: 4.78e-01, diffusive CFL: 1.30e-02
i:   1440, sim time:  19.995, wall time: 1.333 minutes, Δt:  0.0092, advective CFL: 4.88e-01, diffusive CFL: 1.30e-02
